year,month,temp_avg_monthly,humidity_avg_monthly,rainfall_total,wind_avg,high_humidity_days,heavy_rain_days,rice_blast,brown_spot,risk_level
2020,1,25.85,74.68,18.4,15.17,8,0,0,0,Low
2020,2,27.09,66.71,6.3,18.42,0,0,0,0,Low
2020,3,29.43,63.32,4.9,17.87,0,0,0,0,Low
2020,4,31.51,63.27,41.9,17.67,0,1,1,0,Medium
2020,5,33.14,59.31,19.2,19.17,0,0,0,0,Low
2020,6,32.86,56.0,52.2,20.93,0,2,1,0,Medium
2020,7,30.63,63.94,78.2,16.68,0,2,0,1,Medium
2020,8,30.99,61.39,52.9,20.82,0,1,1,1,High
2020,9,28.87,72.47,165.4,16.41,4,7,1,0,Medium
2020,10,29.46,67.39,75.2,15.87,1,2,0,0,Low
2020,11,26.97,77.93,200.3,17.15,13,7,0,1,Medium
2020,12,24.55,82.68,444.5,18.18,20,10,0,0,Low
2021,1,24.92,82.0,197.9,15.77,17,5,0,0,Low
2021,2,25.59,69.43,8.9,16.22,1,0,0,0,Low
2021,3,28.62,65.05,2.9,17.0,0,0,0,1,Medium
2021,4,31.02,65.27,47.2,17.08,0,2,0,0,Low
2021,5,31.71,62.71,63.6,18.46,0,2,1,0,Medium
2021,6,31.92,56.5,49.3,20.93,0,2,0,0,Low
2021,7,30.98,59.71,64.3,21.11,0,2,1,1,High
2021,8,30.65,61.81,89.9,18.48,0,2,1,1,High
2021,9,30.18,67.35,135.8,16.63,0,5,1,1,High
2021,10,27.7,80.15,318.5,14.33,15,14,1,0,Medium
2021,11,25.71,85.82,524.5,14.36,26,22,1,0,Medium
2021,12,25.29,77.24,55.3,15.14,12,1,0,0,Low
2022,1,25.77,74.73,29.8,15.23,1,1,0,0,Low
2022,2,26.12,71.09,40.7,15.88,2,1,0,0,Low
2022,3,28.37,67.56,10.0,15.83,0,0,0,0,Low
2022,4,29.91,70.33,59.9,15.2,2,2,0,0,Low
2022,5,31.52,62.47,93.7,18.66,0,3,1,0,Medium
2022,6,30.78,64.7,51.0,18.99,0,1,1,1,High
2022,7,30.44,61.69,102.5,21.08,0,6,1,1,High
2022,8,29.27,68.47,229.7,18.54,2,8,0,1,Medium
2022,9,29.1,70.63,74.2,15.42,1,2,1,0,Medium
2022,10,27.48,76.1,217.0,14.73,12,9,1,0,Medium
2022,11,25.47,80.08,242.3,14.57,17,8,1,0,Medium
2022,12,25.27,79.15,175.1,16.16,9,6,0,0,Low
2023,1,24.42,73.27,9.2,16.46,0,0,1,0,Medium
2023,2,25.21,71.57,44.4,15.3,2,2,0,0,Low
2023,3,28.44,69.18,44.5,16.2,0,1,0,0,Low
2023,4,30.56,66.02,41.4,16.07,0,1,0,0,Low
2023,5,31.1,67.95,116.3,16.22,3,5,0,0,Low
2023,6,32.2,60.1,75.3,18.84,0,3,1,1,High
2023,7,31.24,59.05,51.5,22.23,0,0,1,1,High
2023,8,31.59,60.71,98.0,18.21,0,3,0,0,Low
2023,9,30.22,67.92,169.5,17.22,0,6,0,1,Medium
2023,10,28.91,72.44,162.5,15.42,1,5,1,0,Medium
2023,11,26.35,82.92,460.0,14.76,25,14,0,0,Low
2023,12,26.03,80.29,128.8,18.14,13,5,0,0,Low
